ID_IR,Nombre_IR,ID_Catalogo_Publico,Nombre_Catalogo_Publico,ID_Implementacion,Nombre_Implementacion,Emision_Observable,Cobertura_Suite,Situacion,Tratamiento_Recomendado,Observaciones
E001,InvalidTriCoercion,E001,InvalidTriValue,E001,InvalidTriValue,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,literal_ternario_no_reconocido_cubierto_explícitamente
E002,InvalidCellSize,E002,InvalidBValue,E002,InvalidBValue,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,bad_b_value_cubierto_explícitamente
E003,,,,E003,NSquaredViolation,no_directa,no_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,sin_caso_superficial_explícito
E004,,,,E004,EmptyCodomain,si_directa,no_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,sitio_de_emision_sin_caso_superficial_explicito
E005,,,,E005,DuplicateIdentifier,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,duplicate_identifier_cubierto_explícitamente
E006,,,,E006,UndeclaredReference,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,gate_y_projection_cubiertos_explícitamente
E007,,,,E007,InvalidConnectorMapping,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,conector_mapping_incompleto_cubierto_explícitamente
E008,,,,E008,ConnectorTargetNotTri,no_directa,no_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,codigo_preservado_por_trazabilidad_sin_emision_directa_ni_caso_explicito;_el_subcaso_target_no_ternario_emite_E104
E009,,,,E009,TableInputMismatch,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,admissibility_table_incompleta_cubierto_explícitamente
E010,,,,E010,InvalidRole,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,invalid_role_literal_cubierto_explícitamente
,,,,E011,TableOutputNotInCodomain,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,materializa_condicion_tipificada_de_AdmissibilityTable:_cada_salida_literal_pertenece_a_output_codomain;_no_cierra_J1_4_ni_equivale_a_E105_E106
E101,EmptyCodomain,E101,VectorLengthMismatch,E101,VectorLengthMismatch,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,cellstate_vector_length_mismatch_cubierto_explícitamente
E102,MissingOutputSemantics,E102,MissingOutputSemantics,E102,MissingOutputSemantics,si_directa,si_explicita,coincide,mantener_vigente,convergencia_vigente:_misma_obligacion_material_y_emision_explicita
E103,IllegalBridgePosition,E103,GraphCycleDetected,E103,GraphCycleDetected,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,compose_cycle_graph_cubierto_explícitamente
E104,InvalidConnectorCodomain,E104,InvalidConnectorCodomain,E104,InvalidConnectorCodomain,si_directa,si_explicita,coincide,mantener_vigente,convergencia_vigente:_mismo_diagnostico_canonico_con_emision_y_suite
E105,IncompleteAdmissibilityTable,E105,BridgePositionOutOfRange,E105,BridgePositionOutOfRange,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,bridge_position_fuera_de_rango_cubierto_explícitamente
E106,MissingSemanticRelation,E106,MissingSemanticRelation,E106,MissingSemanticRelation,no_directa,no_explicita,coincide,mantener_vigente_y_ampliar_cobertura,coincidencia_plena_sin_suite_con_sonda_documentada_que_muestra_caida_actual_a_E006
E107,InvalidTernarizerPartition,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E108,MissingResContext,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E109,InvalidCaptureSpec,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E110,InvalidAdmissibilitySpec,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
