ia,intento,banco,caso,dictamen_entrega,resultado_caso,observaciones,respuesta_sha256,url_evaluacion
grok,1,S4-EXTERNA-DOCUMENTAL/1,E01,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,"Resolución DATO, literal 8.40 y una llamada de política, con fuente y alcance sintéticos.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E02,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,PERMISO_REVOCADO con contenido null y una llamada de política; no autorización profesional.,44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E03,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,Lectura del recibo negativo admitida sin autorización para actuar. Se cotejan los fragmentos abreviados de F08; no se tratan como reproducción íntegra de sus bytes.,44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E04,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,2/4; traza 3/3,Falta la entrada exacta de montaje F05; la cita del caso no suple la vigencia. RECHAZAR_LECTURA difiere de RECHAZAR; se reservan los dos puntos de decisión por la misma ambigüedad pública aplicada a Claude.,44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E05,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,1/4; traza 2/3,"F04 (caso original P3-11) permanece. F05 (entrada exacta de su montaje) se sustituye por F03 (montaje P3-01). La pieza divergente es vigencia, no caso: VigenciaDistinta. Grok responde CasoDistinto y excluye expresamente VigenciaDistinta, reduciéndola al booleano. El control compara los bytes completos de la entrada de montaje, incluida su identidad. Se conserva el rechazo y la identificación de la cita ajena; se pierden causa y justificación plenamente sustentada. RECHAZAR_LECTURA difiere de RECHAZAR; se reservan los dos puntos de decisión por la misma ambigüedad pública aplicada a Claude.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E06,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,2/4; traza 3/3,"Identidad de otra invocación, rechazada antes del contenido. RECHAZAR_LECTURA difiere de RECHAZAR; se reservan los dos puntos de decisión por la misma ambigüedad pública aplicada a Claude.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E07,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,F06 tiene 539 bytes y huella cbfc037a… coincidente. La escritura descrita corresponde al caso; el participante declara no ejecutar Rust.,44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E08,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,"Supresión de no y espacio dentro de alcance: tres bytes. ContenidoDistinto, rechazo anterior a creación del destino.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E09,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,"Alteración ya ocurrida, detectada al recuperar F07; referencia y vista anteriores intactas. No prevención.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E10,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,F02 presente y F03 omitido: FaltaVigencia. Rechazo anterior a abrir o crear el destino; texto fiel no suple cobertura.,44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E11,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,2/4; traza 3/3,"Exceso de 16385 frente a 16384 antes del cotejo; no U. Limite coincide exactamente. ERROR_LECTURA difiere de RECHAZAR_LECTURA; se reservan sólo los dos puntos de decisión, con el mismo criterio común de ambigüedad pública.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,1,S4-EXTERNA-DOCUMENTAL/1,E12,No acredita todavía conformidad documental completa: E05 contiene una causa incorrecta y la justificación la sostiene expresamente. Revisión humana pendiente.,4/4; traza 3/3,"Destino ausente: Io(NotFound), error de E/S, no valor U.",44ed909b9a7a16830f747f80480f0a98aa1afd89c5bd198dc7dc649cd585abcf,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/grok/EVALUACION.json
grok,2,SV-TRAZABILIDAD-2/1,E01,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E02,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E03,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E04,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E05,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E06,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E07,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E08,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E09,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
