número,fecha,título,doi,dominio_sv,función_dentro_del_sv
104,06/07/2026,Núcleo de ε-Atlas y contraste de precisión de masa y densidad: NASA redondea; el Sistema Vectorial SV formaliza,https://doi.org/10.21428/39829d0b.84d43855,"Núcleo de cadena, descenso de cadena, ventana orbital Tierra-Luna/Tierra-Sol, recomposición, contraste de precisión de masa y densidad, redondeo externo, publicación adscrita","Desciende la cadena de proporcionalidad un peldaño por debajo de ε-Atlas y determina su predecesor de cadena, el núcleo de ε-Atlas, por inversión de la ventana orbital inferior Tierra-Luna/Tierra-Sol y no de la Constante Descartes. Declara su masa y su radio como determinación formal por cadena, contrasta la forma M = (4π/3)R³ρ sobre dieciocho cuerpos del Sistema Solar con datos de JPL y NASA, y recoge una corrección de las entradas de contraste lunar de su publicación de adscripción. Publicación hija de la Fórmula universal de la masa."
103,06/07/2026,"Fórmula universal de la masa y proporcionalidad por herencia-descendencia: radio, densidad de dominio, ε-Atlas, Universo Versal y Universo Capital",https://doi.org/10.21428/39829d0b.95b8df6b,"Forma universal de la masa, densidad de dominio, cadena de proporcionalidad por herencia-descendencia, ε-Atlas, Universo Versal, Universo Capital, escalera orbital, constantes de escala, regímenes de determinación","Fija la masa de un dominio esférico como M = (4π/3)R³ρ y la proyecta por una cadena de proporcionalidad que enlaza ε-Atlas con el Universo Versal y el Universo Capital, mediante constantes derivadas de una escalera orbital anidada. Distingue tres regímenes de determinación —contraste de consistencia, anclaje cosmológico y determinación por cadena— y declara las masas envolventes como determinación formal por cadena, no como medición instrumental externa."
102,02/07/2026,"NASA redondea; el Sistema Vectorial SV formaliza — Trilogía Exocósmica, Parte III (λ): humanoide",https://doi.org/10.21428/39829d0b.7b4fc2e6,"Clausura humanoide, sujeto de tránsito, doble cara y doble terreno, Recta Atlas, autogobierno topológico, medida del potencial, terna {0,1,U}, traza auditable, operador de cierre","Clausura la Trilogía Exocósmica en el sujeto que lee. Formaliza el humanoide Watson como sujeto de tránsito, de doble cara y doble terreno, que recibe la cadena cerrada, la Recta Atlas, el autogobierno topológico y el sistema de medida del potencial. Su núcleo operativo es la transducción entre la terna {0,1,U}, frame, suceso y traza auditable, con subordinación humana, U como no clausura honesta y operador de cierre Δ_hum^SV."
101,30/06/2026,"NASA redondea; el Sistema Vectorial SV formaliza — Trilogía Exocósmica, Parte III (μ)",https://doi.org/10.21428/39829d0b.cb7d6fef,"Cierre estructural de cadena, constante longitudinal de cadena, retorno directo y por tramos, residuales, no intercambiabilidad, no arrastre dinámico, Teorema de Unicidad Capital","Cierra estructuralmente la cadena exocósmica. Recibe R_ε, R_V, R_C, la Constante ñ y la terna de escala sin recálculo; compone la constante longitudinal de cadena; demuestra el retorno directo y por tramos del Universo Capital al dominio observable; distingue residuales; y fija los controles de no intercambiabilidad, no arrastre dinámico y el Teorema de Unicidad Capital."
100,30/06/2026,"NASA redondea; el Sistema Vectorial SV formaliza — Trilogía Exocósmica, Parte II (λ)",https://doi.org/10.21428/39829d0b.8a6b4c3d,"Tránsito Versal→Capital, Nodo Central Capital, Sistema ñ, Constante ñ, radio-superficie-volumen del Capital, herencia-descendencia exocósmica, colateralidad, co-descendencia","Formula el tránsito desde el Universo Versal hacia el Universo Capital. Desarrolla el pre-Capital, el proto-Capital, el Nodo Central Capital, el Sistema ñ y la Constante ñ; determina el radio, la longitud, la superficie y el volumen capitales; y establece la herencia-descendencia exocósmica, la colateralidad, la co-descendencia y la relación Capital → Versal → ε-Atlas."
99,30/06/2026,"NASA redondea; el Sistema Vectorial SV formaliza — Trilogía Exocósmica, Parte II (μ)",https://doi.org/10.21428/39829d0b.49cecf93,"Orbitalidad de ε-Atlas, Constante Descartes, Transductor SV16-Pi, radio-superficie-volumen del Universo Versal, órbita suprasistémica, retornos metrológicos","Desarrolla la orbitalidad de ε-Atlas. Recibe el radio exocósmico, aplica la Constante Descartes y el Transductor SV16-Pi, y determina el radio, la superficie, el volumen y la órbita suprasistémica del Universo Versal. Fija el sistema exocósmico de primer orden y sus retornos metrológicos, sin anticipar el cierre capital reservado a λ."
98,26/06/2026,"NASA redondea; el Sistema Vectorial SV formaliza — Trilogía Exocósmica, Parte I",https://doi.org/10.21428/39829d0b.28563444,"Lectura exocósmica, Patrón Ómicron, ε-Atlas, radio estructural exocósmico, frontera etaria, nodo versal, Universo Versal, órbita suprasistémica, pivotación axial","Abre la Trilogía Exocósmica desde el dominio-universo físico realizado. Formaliza el tránsito de Ωobs hacia ε-Atlas, introduce el Patrón Ómicron y fija el radio estructural exocósmico, la frontera etaria, el nodo versal, el Universo Versal de primer orden, la órbita suprasistémica y la pivotación axial del dominio-universo que habitamos."
97,22/06/2026,"Orientación universal y geográfica, potencial del suceso e interfaz de dominio desde el Universo y los seres biológicos: humanoide",https://doi.org/10.21428/39829d0b.5e15cabb,"Orientación, potencial del suceso, interfaz de dominio, seres biológicos y humanoide","Formula la orientación como tránsito formal entre dominio, interfaz, potencial del suceso, trayectoria, residual y retorno. Sitúa al humanoide como soporte técnico orientable, no como origen de la cadena, y vincula Universo, seres biológicos y humano bajo condiciones de dominio declarado y transducción orientativa."
96,18/06/2026,Contraste de precisión etaria solar SV–NASA: NASA redondea; el Sistema Vectorial SV formaliza,https://doi.org/10.21428/39829d0b.22c326bf,"Contraste etario solar, retorno externo, dominio cosmofísico y formalización SV frente a redondeo externo","Contrasta el redondeo divulgativo externo sobre el tránsito solar con la formalización SV basada en dominio, origen, retorno externo y precisión etaria. Funciona como publicación de lectura pública y técnica sobre la diferencia entre dato externo redondeado y formalización SV."
95,16/06/2026,"Radio, frontera y densidad del universo observable — Trilogía Cosmológica, Parte III",https://doi.org/10.21428/39829d0b.0430adc0,"Cosmometría SV, constante cosmológica, radio comóvil, frontera, densidad, materia oscura no sustancial y energía oscura como curvatura ciclo-distancial","Desarrolla la tercera parte cosmológica: radio, frontera, densidad del universo observable, lectura no sustancial de materia oscura y energía oscura como curvatura ciclo-distancial. Integra retornos de Parte I y Parte II y conserva la separación entre dominio observable, frontera y Totalidad."
94,15/06/2026,"Recta-Ómicron (Lanzadera) — Trilogía Cosmológica, Parte II",https://doi.org/10.21428/39829d0b.db21f00e,"Cosmometría situada, brazo fronterizo etario, Lanzadera Ómicron y frontera del universo observable retornado","Determina el brazo fronterizo etario del universo observable retornado desde la Tierra mediante la cadena de Lanzadera Ómicron. Su función es separar acceso, frontera, radio auxiliar y retorno situado, sin confundir observador, origen y frontera cosmológica."
93,15/06/2026,"Determinación del radio, la superficie y el volumen del Universo — Trilogía Cosmológica, Parte I",https://doi.org/10.21428/39829d0b.101f1d12,"Cosmometría SV, radio estructural, superficie, volumen, constante cosmológica y retorno metrológico","Fija la primera parte de la Trilogía Cosmológica mediante el cálculo del radio estructural, superficie y volumen del universo observable bajo retorno metrológico y separación expresa del radio comóvil externo. Actúa como base de cálculo para las partes II y III."
92,11/06/2026,Directed determination of the chemical element SV-399 — Actinium (Ac) + 3 Oganesson (Og) + Tungsten/Wolfram (W): Spain and Portugal as priority prospecting targets,https://doi.org/10.21428/39829d0b.11d9224e,"Química factual, ciencia de materiales, SV-399_Ψ, restricción regional-metalogenética y admisibilidad geológica previa","Ordena la búsqueda dirigida de SV-399_Ψ mediante restricción regional, geológico-mineralógica y analítica previa al ensayo material. Sitúa España y Portugal como núcleo técnico de partida, sin declarar hallazgo ni reconocimiento ordinario de elemento químico."
91,09/06/2026,Determinación dirigida del elemento químico SV-399. — Actinio (Ac) + 3 Oganesón (Og) + Tungsteno/Wolframio (W),https://doi.org/10.21428/39829d0b.5211d837,"Química factual, ciencia de materiales, SV-399_Ψ, microfronteras actínico-refractarias y determinación dirigida del elemento químico","Formula la determinación matriz de SV-399_Ψ a partir de Actinio (Ac) + 3 Oganesón (Og) + Tungsteno/Wolframio (W), mediante rutas convergentes de aislamiento residual y localización ultraminoritaria en microfronteras actínico-refractarias. Su función dentro del SV es fijar el objetivo material y analítico de la línea SV-399, sin declarar hallazgo empírico ni reconocimiento ordinario de elemento químico."
90,06/06/2026,Tabla periódica estructural extendida del dominio térmico K_theta: materiales por encima de 4500 °C,https://doi.org/10.21428/39829d0b.5fd2b270,"Química factual, materiales extremos, dominio térmico estructural K_Θ y elementos SV extendidos","Articula el dominio térmico estructural K_Θ con elementos principales, controles adyacentes y materiales por encima de 4500 °C. Su función es construir un dominio de contraste térmico estructural, con rango, controles y máximo declarado, sin confundir estructura SV con síntesis material."
89,06/06/2026,"Adenda I. Extensión del dominio térmico K_Θ⁺ más allá de SV-443: crecimiento transductivo, frontera formal y contraste ultra-refractario",https://doi.org/10.21428/39829d0b.c5e1621c,"Dominio térmico K_Θ⁺, frontera formal, contraste ultra-refractario y ciencia de materiales SV","Extiende de forma subordinada el dominio térmico K_Θ más allá de SV-443 mediante umbrales térmicos, residuales, casos negativos y contraste ultra-refractario, sin proclamar síntesis ni materiales realizados."
88,04/06/2026,"Línea del Umbral SV, circulación de retorno del dominio-universo y átomo formal de ascendencia no agotada",https://doi.org/10.21428/39829d0b.30dfd78b,"Línea del Umbral, igualdad polar, circulación de retorno, dominio-universo y persistencia","Fija la lectura de la Línea del Umbral SV como referencia de igualdad polar, circulación de retorno, persistencia y lectura atómica del dominio-universo. Permite distinguir origen, umbral, intensidad, potencial, retorno y frontera sin reducir el dominio a geometría externa."
87,03/06/2026,"Vida y clausura de los observables realizados: cuerpos, especies, estrellas y frontera sutural del universo observable como dominio físico realizado",https://doi.org/10.21428/39829d0b.9c15d6fe,"Observables realizados, vida formal de instancia, biología, especies, estrellas, frontera sutural y retorno","Formula una teoría de la vida formal y clausura de observables realizados: toda instancia exige dominio, frontera, identidad, soporte, traza, residual y retorno. Distingue vida biológica de vida formal de instancia y evita identificar frontera sutural con TODO/NADA, materia oscura sustancial o límite del espacio."
