orden,objeto_matematico_sv,naturaleza_tecnica,publicacion_de_referencia,doi,dominio_de_operacion,que_permite_formalizar_o_calcular,necesidad_dentro_del_sv,fundamentos_sv_que_aplica,rango_dentro_de_la_coleccion
1,"`𝓕𝓐=d𝓐+𝓐∧𝓐`, con `𝓐=ω⊕A`",Proyección física matriz,Fórmula de Campo Unificado,https://doi.org/10.17613/gxfv3-qjj64,"Física factual, campo unificado y frontera Einstein–Bohr","Permite proyectar un régimen de campo unificado hacia estructuras reconocibles de curvatura, conexión, electromagnetismo, correlación angular y clausura ternaria.","Resulta necesaria para evitar que campo, curvatura, electromagnetismo y correlación comparezcan como dominios aislados sin operador común de lectura.","Dominio declarado, proyección, frontera, retorno físico, ausencia de probabilidad fundante y exclusión del cierre por analogía externa.",Primitivo de proyección físico-formal
2,`U_unif^SV` y siete sectores de articulación GEM,Primitivo físico-generativo,Teoría general de sucesos generadores y de los protocampos unificados,https://doi.org/10.17613/177nb-v2465,"Sucesos generadores, protocampos, gravedad, electricidad y magnetismo","Permite ordenar la articulación entre sectores físicos bajo un régimen de sucesos generadores, identidades estructurales y cierre formal sin parámetros libres.","Resulta necesario para impedir que gravedad, electricidad y magnetismo queden yuxtapuestos como teorías separadas sin una lectura SV de generación, frontera y retorno.","Terna `{0,1,U}`, suceso generador, dominio físico declarado, identidad sectorial, residual, laboratorio y falsación operativa.",Primitivo físico-generativo
3,Persistencia energética estructural,Transductor físico-material de persistencia,Génesis del hidrógeno y teoría de la persistencia energética estructural,https://doi.org/10.17613/qq4q9-sd847,"Materia, energía, estabilidad física y transición material","Permite leer masa, frontera, residual e identidad física bajo compatibilidad operatoria universal, especialmente en regímenes distribuidos entre estabilidad cuántica, termodinámica, plasma, emergencia y confinamiento.","Es necesario porque la física contemporánea describe regímenes precisos, pero heterogéneos; el SV requiere un criterio de persistencia compatible entre dominios.","Identidad material, frontera, residual, retorno, compatibilidad operatoria, conservación de `U` y no reducción del dominio a una magnitud aislada.",Transductor físico-material
4,`ΦL_SV` y proyecciones de la luz,Familia de proyecciones físicas,Teoría general factual de la luz en el Sistema Vectorial SV,https://doi.org/10.17613/1z7c0-mqb40,"Luz factual, energía, activación, campo, gravedad y Maxwell","Permite formular la luz como objeto físico-factual proyectable, derivar `E=ν·h_SV` desde activaciones preternarias, disolver la oposición onda-corpúsculo y articular luz, gravedad y electromagnetismo.","Es necesaria para que la luz no entre como sustancia aislada ni como dualidad importada, sino como dominio de proyección, activación, residual y retorno.","Activación, dominio luminoso, proyección, falsación, frontera, residual, retorno físico y ausencia de probabilidad como fundamento.",Familia de proyecciones físicas
5,`C_SV(δ)=−cosδ`,Correlador angular,De Bell a Tsirelson sin formalismo de Hilbert,https://doi.org/10.17613/1666c-c5g66,"Correlación angular, Bell, Tsirelson y frontera cuántica","Permite leer `CHSH≤2` y Tsirelson `2√2` como regímenes de un mismo correlador angular SV, sin formalismo de Hilbert ni probabilidad fundante.","Es necesario para que la correlación no dependa de una interpretación probabilística externa, sino de un régimen angular declarado, con no señalización y libertad de medición.","Correlación estructural, dominio angular, clausura restringida, ausencia de probabilidad fundante, conservación de `U` y retorno matemático.",Correlador angular
6,Correlación estructural y co-clausurabilidad restringida,Correlador estructural,"Correlación, restricción de clausura y no clausura posicional en dominios cuánticos contemporáneos",https://doi.org/10.21428/39829d0b.2bad40a0,"Dominios cuánticos contemporáneos, EPR, Heisenberg y Bell","Permite formalizar acoplamiento, compatibilidad, restricción de clausura y no clausura posicional sin convertir la indeterminación en probabilidad.","Resulta necesario para distinguir correlación real, co-clausurabilidad y límite de cierre, evitando que la ausencia de clausura se maquille como resultado probabilístico.","`U` honesta, no clausura posicional, dominio declarado, compatibilidad, frontera y prohibición de cierre por inferencia opaca.",Correlador estructural
7,Fórmula factual única de la termodinámica SV,Correlador físico-termodinámico,"Fuerza, trabajo, calor, entalpía, temperatura, principios y fundamentos de la termodinámica y la correlación entre ellos",https://doi.org/10.17613/ptw68-d1r57,"Termodinámica factual, trabajo, calor, fuerza, temperatura, entalpía y `U`","Permite integrar trabajo, calor, fuerza, temperatura, entalpía y no clausura en una formulación factual única, con balance y residual.",Es necesaria porque la termodinámica exige correlacionar magnitudes que no pueden entrar en el SV como vocabulario físico suelto ni como importación directa del SI.,"Balance factual, dominio `Ω_SV`, residual, retorno, ausencia de tiempo como primitiva, ausencia de estadística como criterio de verdad y conservación de `U`.",Correlador físico-termodinámico
8,Ecuación electromagnética SV única,Reducción físico-factual,Reducción estructural absoluta de Maxwell en el Sistema Vectorial SV y ecuación única de la física factual electromagnética,https://doi.org/10.17613/kep1t-57539,Electromagnetismo factual,"Permite reordenar Gauss, Faraday, Ampère-Maxwell, relaciones constitutivas, frontera, balance y onda bajo una ecuación SV única.","Es necesaria para que el electromagnetismo no se introduzca como simple traducción de Maxwell, sino como dominio factual con frontera, balance, residual y retorno.","Derivada factual, flujo, rotor, divergencia, frontera, balance, metrología declarada, residual y no sustitución por geometría auxiliar.",Reducción físico-factual
9,Transformada modal factual `T_mf`,Transformada modal,Fourier factual y ecuación de onda electromagnética en el Sistema Vectorial SV,https://doi.org/10.21428/39829d0b.0954ba30,"Electromagnetismo factual, ciclo, trayectoria poligonal y dominio modal","Permite llevar una configuración factual poligonal al dominio modal factual, formular balance tipo Parseval, residual de borde y propagación sobre ciclo o trayectoria.","Es necesaria para tratar periodicidad, modo, onda y propagación sin introducir tiempo rector ni sustituir el dominio factual por análisis armónico externo.","Trayectoria poligonal, ciclo, dominio modal, residual de borde, balance, laboratorio reproducible y ausencia de tiempo como primitiva.",Transformada modal; no transductor estricto
10,`G` como coeficiente de retorno local y `Λ` como curvatura efectiva,Retorno físico y proyección gravitatoria,"Campo y energía, génesis de la masa y definición física de la gravedad",https://doi.org/10.21428/39829d0b.41afec0f,"Gravedad, masa, energía, campo y constante cosmológica","Permite reordenar `G` como retorno local y `Λ` como curvatura cosmológica efectiva, separando dominio, unidad, residual y retorno físico.","Es necesaria para impedir que gravedad y constante cosmológica operen como entidades aisladas sin declaración de dominio, unidad y retorno.","Dominio declarado, unidad, residual, retorno físico, contraste externo, frontera y transducción metrológica prudente.",Retorno físico y proyección gravitatoria
