"ficha","id","suceso_principal","estado","fecha_alta_utc","fecha_actualizacion_utc","fecha_fin_utc","objeto","resultado_actual","evidencia"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0001.md","TT-0001","S39","finalizado","2026-09-22T10:43:48Z","2026-09-22T10:43:48Z","2026-09-22T10:43:48Z","Identidad del modelo instalado y diferencia respecto de Qwen3.8-Max","Identidad comprobada; los resultados corresponden a Qwen3-0.6B Q4_K_M.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-01.json"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0002.md","TT-0002","S39","finalizado","2026-09-22T10:43:48Z","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","Duración de las peticiones y procesamiento del historial","Finalizado en esta campaña con limitación de latencia aceptada. Mediciones conservadas; sin mejora de velocidad acreditada.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-03.json ; https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0003.md","TT-0003","S39","finalizado","2026-09-22T10:43:48Z","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","Fidelidad semántica, español y continuidad temática","Finalizado con inadecuación de la configuración para las operaciones documentales profesionales examinadas; no se determina una causa única ni se generaliza a otras realizaciones.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-03.json ; https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0004.md","TT-0004","S39","finalizado","2026-09-22T10:43:48Z","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","Identificación de titularidad y licencias en la interfaz y las exportaciones","Finalizado en alcance parcial: avisos incorporados y comprobaciones locales conservadas; verificación visual externa y exportación desde esa sesión no acreditadas en esta recepción.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-01.json ; https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0005.md","TT-0005","S39","finalizado","2026-09-22T10:43:48Z","2026-09-22T14:55:44Z","2026-09-22T14:55:44Z","Correspondencia entre medidas, terminación y validación del contenido","Suceso nuevo con operaciones externas no medidas y contenido no validado; OpenTelemetry y observador Linux activos; once pruebas y correlación de una inferencia verificadas.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-04.json"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0006.md","TT-0006","S39","finalizado","2026-09-22T10:43:48Z","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","Disponibilidad, autenticación y continuidad después de una ausencia","Finalizado en alcance parcial: recuperación y HTTP local comprobados en versiones identificadas; continuidad de navegador y autenticación externa sin acreditación completa.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/EIO_2026-09-22_revision-03.json ; https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0007.md","TT-0007","S39","finalizado","2026-09-22T17:23:56Z","2026-09-22T18:00:00Z","2026-09-22T18:00:00Z","Entrega técnica Beta identificada y descargable","Publicada EIO conversación 0.1.3 · Beta 1, con siete adjuntos, prospecto, licencias y manifiesto de 394 archivos cotejados en Rust. La publicación no acredita conformidad integral de la vía B.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/ENTREGA_BETA_Y_DOC01_2026-09-22.json"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0008.md","TT-0008","S39","finalizado","2026-09-22T17:23:56Z","2026-09-22T18:00:00Z","2026-09-22T18:00:00Z","Fidelidad a fuentes documentales expresamente suministradas","Cuatro peticiones terminadas normalmente; cero aceptaciones contractuales. Se conservan los fallos de formato y la valoración diferenciada del contenido. Ensayo finalizado con resultado adverso, sin incorporación a la conversación interactiva.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/json/ENTREGA_BETA_Y_DOC01_2026-09-22.json"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0009.md","TT-0009","S39","finalizado","2026-09-22T19:14:00Z","2026-09-22T19:14:00Z","2026-09-22T19:14:00Z","Comprobación inicial de capacidad para la guarda exterior de la vía B","Inspección inicial finalizada: permiso denegado en cgroup.kill raíz; delegación exclusiva y control superior no acreditados. No demuestra imposibilidad de otras delegaciones ni cierra la vía B. Sin inferencias ni escrituras de control.","https://github.com/juantoniolloretegea/SV-motor/blob/511969f4ba576734f4bf96e39eed3e90d5dd02d5/laboratorio/ensayo-ia-y-observabilidad/resultados/capacidad-cgroup-01/RESULTADO.json"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0010.md","TT-0010","S42","pendiente","2026-09-23T08:24:33Z","2026-09-23T09:54:22Z","","Instalación nativa de gpt-oss-20b en PC/WSL2 y depuración local de la interfaz","Auditoría recibida; correcciones locales verificadas en TT-0011. Instalación y depuración en PC/WSL2 pendientes, sin inspección de capacidad del destino.","https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/sucesos/fichas/S42.md ; https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
"https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/Inventario-sv/tiques-tecnicos/TT-0011.md","TT-0011","S39","finalizado","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","2026-09-23T09:54:22Z","Corrección de supervisión y recursos; cierre delimitado de Qwen/B","Recepción de fuentes candidatas Qwen 0.1.4 y controlador gpt-oss 0.1.1, compiladas y verificadas localmente. Campaña Qwen/B concluida con limitaciones; sin despliegue ni nueva inferencia.","https://github.com/juantoniolloretegea/SV-motor/blob/8cddcc83359bf6733a360d5bba2cd72426f8b631/laboratorio/ensayo-ia-y-observabilidad/resultados/cierre-qwen-b-20260923/INFORME.md"
