ID,Horizonte a contemplar,Argumento de arquitectura,Riesgo si se ignora,Riesgo si se implementa ya,Hito de contemplación,Gramática,IR,Validator,Runner,Backend,Estado
H-01,Relaciones no triviales entre sucesos,La semántica futura puede exigir relaciones más ricas que la mera sucesión lineal,IR demasiado pobre; rehacer capas posteriores,Sobrerreificación semántica prematura,H1,No procede,Cautela fuerte,Cautela,Cautela,Cautela,Vigente
H-02,Cadenas y acumulaciones no banales,El sistema no debe quedar reducido a pasos aislados,Modelo incapaz de crecer hacia acumulaciones y regímenes,Complejidad prematura en ejecución,H1,No procede,Cautela fuerte,Cautela,Cautela,Cautela,Vigente
H-03,"Persistencia, umbral y transición",El lenguaje no debe presuponer continuidad uniforme,Validator y runner falsamente lineales,Formalización operativa prematura de ruptura,H2,No procede,Cautela fuerte,Cautela fuerte,Cautela fuerte,Cautela,Vigente
H-04,Dato de enlace entre regímenes,Debe existir capacidad futura de enlazar sin identidad global,IR plana e incapaz de hospedar puentes estructurales,Modelo especulativo no cerrado,H2,No procede,Cautela fuerte,Cautela,Cautela,Cautela,Vigente
H-05,Equivalencia parcial entre regímenes,La familia VII ya formalizó equivalencia parcial entre regímenes y el lenguaje no debe identificar todo enlace con equivalencia.,"Pérdida de precisión diagnóstica futura y colapso entre enlace, comparabilidad y equivalencia.",Tipificación precipitada de equivalencias antes del cierre de interfaces y células especializadas.,H3,No procede,Cautela,Cautela,Cautela,Cautela,Observación reforzada
H-06,Propiedades relevantes e invariancia local,La familia VII ya exige contemplar familias de propiedades preservadas e invariancia local sin cristalizarlas todavía.,IR incapaz de alojar preservaciones localizadas o familias tipadas si se cerrara mal el ABI.,Invariantes operativos espurios antes de consolidación doctrinal suficiente.,H3,No procede,Cautela fuerte,Cautela,Cautela,Cautela,Observación reforzada
H-07,Familias de preservación y clases locales de régimen,"La evolución futura puede agrupar regímenes por núcleos preservados, pero ello sigue fuera del cierre operativo actual.",Arquitectura ciega a clasificación local y a dictámenes diferenciales entre regímenes.,Sobreestructuración prematura del diagnóstico o del backend.,H3,No procede,Cautela fuerte,Cautela,Cautela,Cautela fuerte,Observación reforzada
H-08,Tránsitos entre clases y cambio de patrón,El modelo no debe fijar transiciones uniformes como única forma de paso,Runner y backend demasiado rígidos,Ingeniería especulativa excesiva,>H3,No procede,Cautela,Cautela fuerte,Cautela fuerte,Cautela fuerte,Futuro
H-09,Regímenes asintóticos o límite condicionado,Posible apertura posterior de procesos largos sin convergencia clásica,Cierre analítico pobre,Reintroducción anticipada de cálculo clásico,>H3,No procede,Cautela,Cautela,Cautela,Cautela fuerte,Futuro
H-10,Diferenciación de rigidez estructural del lenguaje,No todos los soportes del sistema deben cerrarse con la misma dureza arquitectónica,Rigidez homogénea que impida alojar frentes doctrinales ya abiertos,Elasticidad vacía sin soporte formal suficiente,H2,No procede,Cautela fuerte,Cautela,Cautela,Cautela fuerte,Vigente
